,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_temperature,weather_wind_mph,score_home,score_away,stadium_neutral,home_favorite,away_favorite,hm_avg_pts_diff,aw_avg_pts_diff,elo1_pre,elo2_pre,qbelo_prob1,over,result
125,1979-10-29,1979,9,ATL,SEA,SEA,-2.0,42.0,60.0,9.0,28,31,0,0.0,1.0,-2.625,-1.125,1443.723,1483.631,0.513582755166,1.0,0
126,1979-11-04,1979,10,ATL,TB,ATL,-2.0,37.0,49.0,10.0,17,14,0,1.0,0.0,-2.6666666666666665,4.111111111111111,1428.689,1484.008,0.491241308503,0.0,1
127,1979-11-04,1979,10,IND,CIN,IND,-3.0,42.0,45.0,10.0,38,28,0,1.0,0.0,-5.111111111111111,-3.0,1385.678,1488.884,0.445545907614,1.0,1
128,1979-11-04,1979,10,BUF,NE,NE,-5.0,41.0,42.0,11.0,6,26,0,0.0,1.0,3.888888888888889,9.555555555555555,1455.464,1590.406,0.381856736384,0.0,0
129,1979-11-04,1979,10,CHI,DET,CHI,-7.0,35.0,38.0,9.0,35,7,0,1.0,0.0,-1.7777777777777777,-7.666666666666667,1468.821,1357.27,0.705628502544,1.0,1
130,1979-11-04,1979,10,DEN,NO,DEN,-6.0,37.0,38.0,7.0,10,3,0,1.0,0.0,-1.0,1.7777777777777777,1590.091,1499.023,0.753049737404,0.0,1
131,1979-11-04,1979,10,GB,NYJ,NYJ,-4.0,39.0,34.0,10.0,22,27,0,0.0,1.0,-5.111111111111111,-3.6666666666666665,1414.164,1491.907,0.466574519877,1.0,0
132,1979-11-04,1979,10,KC,LAC,LAC,-6.0,37.0,47.0,16.0,14,20,0,0.0,1.0,1.2222222222222223,7.222222222222222,1433.455,1594.748,0.334512830329,0.0,0
133,1979-11-04,1979,10,NYG,DAL,DAL,-8.0,38.0,47.0,13.0,14,16,0,0.0,1.0,-3.4444444444444446,6.333333333333333,1442.483,1676.065,0.283927083427,0.0,0
135,1979-11-04,1979,10,PHI,CLE,PHI,-3.0,41.0,44.0,10.0,19,24,0,1.0,0.0,0.2222222222222222,0.6666666666666666,1533.171,1535.829,0.57107437643,1.0,0
136,1979-11-04,1979,10,PIT,WAS,PIT,-11.0,37.0,41.0,7.0,38,7,0,1.0,0.0,8.444444444444445,5.111111111111111,1700.789,1547.753,0.763434456164,1.0,1
137,1979-11-04,1979,10,SEA,LAR,SEA,-3.0,41.0,72.0,0.0,0,24,0,1.0,0.0,-0.6666666666666666,-3.3333333333333335,1498.665,1496.619,0.61289532765,0.0,0
138,1979-11-04,1979,10,ARI,MIN,ARI,-5.0,39.0,44.0,8.0,37,7,0,1.0,0.0,-5.111111111111111,-4.555555555555555,1432.842,1451.58,0.521436341761,1.0,1
139,1979-11-05,1979,10,MIA,TEN,MIA,-3.0,39.0,77.0,17.0,6,9,0,1.0,0.0,4.444444444444445,-0.3333333333333333,1580.896,1554.33,0.618489871371,0.0,0
140,1979-11-11,1979,11,CHI,LAR,PICK,0.0,34.0,28.0,6.0,27,23,0,0.0,0.0,1.2,-0.6,1485.388,1536.148,0.62785237106,1.0,1
141,1979-11-11,1979,11,CIN,LAC,LAC,-4.0,43.0,35.0,10.0,24,26,0,0.0,1.0,-3.7,7.1,1461.809,1608.352,0.398533225638,1.0,0
142,1979-11-11,1979,11,CLE,SEA,CLE,-6.0,43.0,36.0,12.0,24,29,0,1.0,0.0,1.1,-3.0,1557.543,1459.136,0.714788529764,1.0,0
143,1979-11-11,1979,11,DEN,NE,NE,-1.0,34.0,35.0,11.0,45,10,0,0.0,1.0,-0.2,10.6,1601.328,1614.052,0.575380190354,1.0,1
144,1979-11-11,1979,11,DET,TB,TB,-5.0,35.0,72.0,0.0,14,16,0,0.0,1.0,-9.7,3.4,1340.703,1470.59,0.396961062511,0.0,0
145,1979-11-11,1979,11,GB,MIN,GB,-2.0,37.0,26.0,6.0,19,7,0,1.0,0.0,-5.1,-7.1,1397.003,1422.4,0.549274554394,0.0,1
147,1979-11-11,1979,11,KC,PIT,PIT,-10.0,38.0,34.0,15.0,3,30,0,0.0,1.0,0.5,10.7,1419.85,1714.778,0.195567388152,0.0,0
148,1979-11-11,1979,11,MIA,IND,MIA,-6.0,38.0,81.0,13.0,19,0,0,1.0,0.0,3.7,-3.6,1562.705,1412.754,0.766226772019,0.0,1
149,1979-11-11,1979,11,NO,SF,NO,-7.0,42.0,72.0,0.0,31,20,0,1.0,0.0,0.9,-8.4,1487.786,1299.424,0.774325561048,1.0,1
150,1979-11-11,1979,11,NYG,ATL,NYG,-2.0,36.0,52.0,10.0,24,3,0,1.0,0.0,-3.3,-2.1,1436.875,1442.106,0.606615669849,0.0,1
151,1979-11-11,1979,11,NYJ,BUF,NYJ,-6.0,42.0,52.0,10.0,12,14,0,1.0,0.0,-2.8,1.5,1509.069,1431.818,0.683980608126,0.0,0
152,1979-11-11,1979,11,WAS,ARI,WAS,-3.0,39.0,55.0,12.0,30,28,0,1.0,0.0,1.5,-1.6,1533.765,1462.023,0.704456651925,1.0,1
153,1979-11-12,1979,11,DAL,PHI,DAL,-10.0,38.0,45.0,5.0,21,31,0,1.0,0.0,5.9,-0.3,1681.674,1511.457,0.793405091835,1.0,0
154,1979-11-18,1979,12,BUF,GB,BUF,-7.0,37.0,44.0,10.0,19,12,0,1.0,0.0,1.5454545454545454,-3.5454545454545454,1448.121,1419.339,0.621023494651,0.0,1
155,1979-11-18,1979,12,CHI,NYJ,CHI,-3.0,39.0,56.0,12.0,23,13,0,1.0,0.0,1.4545454545454546,-2.727272727272727,1500.724,1492.766,0.594218039091,0.0,1
156,1979-11-18,1979,12,CLE,MIA,PICK,0.0,40.0,50.0,12.0,30,24,0,0.0,0.0,0.5454545454545454,5.090909090909091,1529.701,1574.98,0.530713631343,1.0,1
157,1979-11-18,1979,12,TEN,CIN,TEN,-8.0,43.0,72.0,0.0,42,21,0,1.0,0.0,1.2727272727272727,-3.5454545454545454,1594.451,1453.657,0.746121443789,1.0,1
158,1979-11-18,1979,12,MIN,DET,MIN,-4.0,37.0,47.0,9.0,14,7,0,1.0,0.0,-7.545454545454546,-9.0,1400.063,1332.001,0.672011068789,0.0,1
159,1979-11-18,1979,12,NE,IND,NE,-10.0,40.0,49.0,11.0,50,21,0,1.0,0.0,6.454545454545454,-5.0,1584.276,1400.479,0.817864173766,1.0,1
161,1979-11-18,1979,12,PHI,ARI,PHI,-3.0,39.0,50.0,8.0,16,13,0,1.0,0.0,0.6363636363636364,-1.6363636363636365,1554.136,1455.552,0.740401307486,0.0,1
162,1979-11-18,1979,12,LAC,PIT,PIT,-4.0,39.0,63.0,9.0,35,7,0,0.0,1.0,6.636363636363637,12.181818181818182,1616.504,1727.462,0.416333008465,1.0,1
163,1979-11-18,1979,12,SF,DEN,DEN,-9.0,39.0,55.0,14.0,28,38,0,0.0,1.0,-8.636363636363637,3.0,1291.014,1631.104,0.157628263557,1.0,0
164,1979-11-18,1979,12,SEA,NO,SEA,-3.0,42.0,72.0,0.0,38,24,0,1.0,0.0,-2.272727272727273,1.8181818181818181,1486.977,1496.195,0.596471313469,1.0,1
165,1979-11-18,1979,12,TB,NYG,TB,-3.0,34.0,63.0,7.0,31,3,0,1.0,0.0,3.272727272727273,-1.0909090909090908,1479.292,1461.842,0.590887314607,0.0,1
166,1979-11-18,1979,12,WAS,DAL,DAL,-4.0,37.0,56.0,7.0,34,20,0,0.0,1.0,1.5454545454545454,4.454545454545454,1540.235,1638.994,0.433219151131,1.0,1
167,1979-11-19,1979,12,LAR,ATL,LAR,-7.0,35.0,59.0,16.0,20,14,0,1.0,0.0,-0.9090909090909091,-3.8181818181818183,1520.812,1417.14,0.727311707458,0.0,1
168,1979-11-22,1979,13,DAL,TEN,DAL,-1.0,41.0,46.0,16.0,24,30,0,1.0,0.0,2.9166666666666665,2.9166666666666665,1608.828,1607.692,0.580853273111,1.0,0
169,1979-11-22,1979,13,DET,CHI,CHI,-6.0,36.0,72.0,0.0,20,0,0,0.0,1.0,-8.833333333333334,2.1666666666666665,1319.556,1519.13,0.302817907208,0.0,1
170,1979-11-25,1979,13,ATL,NO,NO,-2.0,43.0,64.0,16.0,6,37,0,0.0,1.0,-4.0,0.5,1407.211,1473.989,0.402411475049,0.0,0
171,1979-11-25,1979,13,IND,MIA,MIA,-4.0,37.0,63.0,8.0,24,28,0,0.0,1.0,-7.0,4.166666666666667,1388.699,1556.788,0.352952164827,1.0,0
